vendor_name,product_category,sku_id,origin_region,destination_dc,shipping_route,order_status,delay_reason,date_offset,order_value_eur,delivery_delay_days,cost_variance_pct
Hartmann Foods GmbH,Sauces & Condiments,SKU-045,Greece,DC-Mülheim,Cape-of-Good-Hope,Delivered,Hormuz-Closure,-546,23617.31,10,6.7
PacRim Ingredients,Sauces & Condiments,SKU-037,China,DC-Stuttgart,Air-Freight,Delayed,Customs-Hold,-55,16024.69,22,11.7
PacRim Ingredients,Baking Ingredients,SKU-199,Greece,DC-Mülheim,Direct-EU,Delivered,On-Time,-222,38140.04,1,1.2
Hartmann Foods GmbH,Canned Goods,SKU-177,Turkey,DC-Mülheim,Air-Freight,In-Transit,On-Time,-716,10970.84,1,4
Hartmann Foods GmbH,Sauces & Condiments,SKU-024,Italy,DC-Hamburg,Hormuz-Strait,Delivered,On-Time,-506,7244.91,3,2.2
Hartmann Foods GmbH,Sauces & Condiments,SKU-131,Turkey,DC-München,Hormuz-Strait,Delivered,On-Time,-618,2684.68,1,2.3
PacRim Ingredients,Beverages,SKU-040,Spain,DC-München,Suez-Canal,Delivered,On-Time,-372,53992.45,1,0.8
SolVita Mediterranean,Cooking Oils,SKU-076,Greece,DC-Berlin,Suez-Canal,Partially-Delivered,Route-Diversion,-326,33092.47,1,1.8
PacRim Ingredients,Canned Goods,SKU-113,Thailand,DC-Mülheim,Suez-Canal,Delivered,Hormuz-Closure,-213,1588.35,4,1.1
Hartmann Foods GmbH,Snacks & Nuts,SKU-147,Turkey,DC-Hamburg,Cape-of-Good-Hope,Partially-Delivered,Hormuz-Closure,-361,28780.17,5,5.4
SolVita Mediterranean,Canned Goods,SKU-116,China,DC-Mülheim,Cape-of-Good-Hope,Delivered,On-Time,-43,4934.66,2,15
SolVita Mediterranean,Canned Goods,SKU-141,Spain,DC-Berlin,Air-Freight,In-Transit,Customs-Hold,-242,23304.61,5,3.5
SolVita Mediterranean,Snacks & Nuts,SKU-059,Thailand,DC-München,Suez-Canal,Delayed,Port-Congestion,-162,41245.99,9,2.1
SolVita Mediterranean,Baking Ingredients,SKU-002,Greece,DC-Mülheim,Air-Freight,Delivered,On-Time,-301,43526.58,1,3.8
Hartmann Foods GmbH,Cooking Oils,SKU-164,Turkey,DC-Hamburg,Hormuz-Strait,Delayed,Hormuz-Closure,-52,70094.84,28,10.6
PacRim Ingredients,Snacks & Nuts,SKU-090,Vietnam,DC-Stuttgart,Cape-of-Good-Hope,Delivered,On-Time,-80,11498.88,2,13.9
PacRim Ingredients,Rice & Grains,SKU-087,Germany,DC-Mülheim,Air-Freight,Delayed,Route-Diversion,-135,33389.72,7,10.7
Hartmann Foods GmbH,Canned Goods,SKU-185,Vietnam,DC-München,Direct-EU,Delayed,On-Time,-596,129302.46,6,0.5
PacRim Ingredients,Cooking Oils,SKU-048,Thailand,DC-Mülheim,Suez-Canal,Partially-Delivered,Weather,-685,30211.91,0,2
SolVita Mediterranean,Beverages,SKU-117,Spain,DC-Berlin,Air-Freight,In-Transit,Port-Congestion,-559,68815.9,8,4
SolVita Mediterranean,Snacks & Nuts,SKU-091,Vietnam,DC-Mülheim,Cape-of-Good-Hope,Delayed,Route-Diversion,-94,55227.7,8,11.1
SolVita Mediterranean,Snacks & Nuts,SKU-053,China,DC-Mülheim,Cape-of-Good-Hope,Delivered,On-Time,-444,14447.03,4,4.8
